dataset,clase,muestras,promedio_pixeles_blancos,desviacion_pixeles_blancos,min_pixeles_blancos,max_pixeles_blancos
mi_dataset,0,15,0.9845255533854167,0.0014022804087741076,0.98089599609375,0.98699951171875
mi_dataset,1,15,0.7241414388020834,0.035210360575893614,0.66107177734375,0.769287109375
dataset_descargas,0,15,0.96392822265625,0.023050363998545532,0.930908203125,1.0
dataset_descargas,1,15,0.9712809244791667,0.026870324543805953,0.92022705078125,0.99951171875
dataset_C26797,0,15,0.98743896484375,0.005039804093549777,0.98028564453125,0.99676513671875
dataset_C26797,1,15,0.9771443684895833,0.007568354999718717,0.96160888671875,0.9918212890625
matriz_final,0,15,0.9284952799479167,0.09933477677986247,0.568115234375,0.99267578125
matriz_final,1,15,0.6622965494791667,0.12021406751737246,0.5032958984375,0.9661865234375
